,Unnamed: 0,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Hotel Name
0,41,saldanha,0.0,PT,2019-09-29 19:13:28,49.0,41.42,-6.55,72.59,7.43,
1,73,maoming,0.0,CN,2019-09-29 19:13:32,68.0,21.67,110.92,74.39,4.0,Wyndham Maoming
2,89,noumea,0.0,NC,2019-09-29 19:10:33,93.0,-22.28,166.46,73.0,5.79,Hotel Beaurivage
3,103,chara,0.0,GR,2019-09-29 19:13:37,68.0,39.42,22.43,71.6,4.5,
4,162,blagnac,0.0,FR,2019-09-29 19:13:45,33.0,43.64,1.38,77.0,9.17,Hotel Mercure Toulouse Aéroport Golf de Seilh
5,209,roma,0.0,IT,2019-09-29 19:09:04,77.0,41.89,12.48,71.6,3.36,Ergife Palace Hotel
6,297,saint george,0.0,GR,2019-09-29 19:14:05,68.0,39.45,22.34,71.6,4.5,
7,310,lagoa,0.0,PT,2019-09-29 19:14:07,83.0,37.14,-8.45,73.0,5.82,Pestana Palm Gardens
8,372,rota,0.0,ES,2019-09-29 19:14:17,88.0,36.62,-6.36,71.01,2.24,Hotel Playa de la Luz
9,448,marsa matruh,0.0,EG,2019-09-29 19:14:28,78.0,31.35,27.25,77.0,6.93,Beau Site
10,520,mehran,0.0,IR,2019-09-29 19:14:41,24.0,33.12,46.17,71.6,4.7,
11,529,sehithwa,0.0,BW,2019-09-29 19:14:42,6.0,-20.47,22.7,73.85,3.85,MONLEK GUEST HOUSE
12,546,saint-joseph,0.0,FR,2019-09-29 19:14:44,83.0,43.56,6.97,71.6,3.36,OKKO HOTELS Cannes' Center
13,556,pakxan,0.0,LA,2019-09-29 19:14:46,85.0,18.39,103.66,70.61,2.64,โรงแรม เดอะ วัน The One Hotel
14,584,buin,0.0,CL,2019-09-29 19:14:50,37.0,-33.73,-70.74,73.4,6.93,Linderos B&B
15,608,mount isa,0.0,AU,2019-09-29 19:14:54,14.0,-20.73,139.49,78.8,8.05,Isa Hotel
